date,type,amount,category,description
2025-05-01,income,50000,Salary,Monthly salary
2025-05-02,expense,12000,Rent,May rent
2025-05-03,expense,3500,Groceries,Big Bazaar weekly
2025-05-05,expense,800,Food & Dining,Zomato order
2025-05-07,income,8000,Freelance,Logo design project
2025-05-10,expense,1200,Transportation,Fuel refill
2025-05-12,expense,499,Subscriptions,Netflix monthly
2025-05-15,expense,2200,Healthcare,Pharmacy
2025-05-18,expense,5000,Shopping,Myntra sale
2025-05-20,income,2500,Investment,Mutual fund dividend
